Code,ISIN,Name,GroupCode,CapSize,IndLarge,IndMedium,IndSmall,MarketCap
109860,KR7109860007,동일금속,,,S,T310,910,761
109960,KR7109960005,AP헬스케어,,,S,T310,1100,658
110020,KR7110020005,전진바이오팜,,,S,T310,910,363
110790,KR7110790003,크리스에프앤씨,,,S,T310,910,1131
110990,KR7110990009,디아이티,,,S,T210,910,2557
111710,KR7111710000,남화산업,,,S,T310,1500,1082
111870,KR7111870002,KH 미래물산,,,S,T310,910,627
112040,KR7112040001,위메이드,,,S,T100,0,10914
112290,KR7112290002,와이씨켐,,,S,T210,910,2588
113810,KR7113810006,디젠스,,,S,T310,910,354
114190,KR7114190002,강원에너지,,,S,T210,910,1875
114450,KR7114450000,그린생명과학,,,S,T310,910,682
114630,KR7114630007,폴라리스우노,,,S,T310,910,461
114810,KR7114810005,한솔아이원스,,,S,T210,910,2590
114840,KR7114840002,아이패밀리에스씨,,,S,T210,910,3145
115160,KR7115160004,휴맥스,,,S,T310,910,489
115180,KR7115180002,큐리언트,,,S,T310,600,3659
115310,KR7115310005,인포바인,,,S,T300,0,1333
115440,KR7115440000,우리넷,,,S,T310,910,700
115450,KR7115450009,HLB테라퓨틱스,,,S,T110,1100,7559
115480,KR7115480006,씨유메디칼,,,S,T310,910,380
115500,KR7115500001,케이씨에스,,,S,T300,0,1308
115530,KR7115530008,씨엔플러스,,,S,T310,910,328
115570,KR7115570004,스타플렉스,,,S,T310,910,268
115610,KR7115610008,이미지스,,,S,T310,910,233
117670,KR7117670000,알파칩스,,,S,T310,910,485
117730,KR7117730002,티로보틱스,,,S,T310,910,2186
118990,KR7118990001,모트렉스,,,S,T210,910,2220
119500,KR7119500007,포메탈,,,S,T310,910,386
119610,KR7119610004,인터로조,,,S,T210,910,2196
119830,KR7119830008,아이텍,,,S,T310,600,1373
119850,KR7119850006,지엔씨에너지,,,S,T210,910,5345
120240,KR7120240007,대정화금,,,S,T310,910,1027
121440,KR7121440002,골프존홀딩스,,,S,T310,1100,2501
121600,KR7121600001,나노신소재,,,S,T110,910,5793
121800,KR7121800007,비덴트,,,S,T210,910,2563
121850,KR7121850002,코이즈,,,S,T310,910,306
121890,KR7121890008,에스디시스템,,,S,T310,910,213
122310,KR7122310006,제노레이,,,S,T310,910,839
122350,KR7122350002,삼기,,,S,T310,910,438
122450,KR7122450000,KX,,,S,T310,1500,1858
122640,KR7122640006,예스티,,,S,T210,910,3807
122690,KR7122690001,서진오토모티브,,,S,T310,910,550
122870,KR7122870009,와이지엔터테인먼트,,,S,T110,1500,16298
122990,KR7122990005,와이솔,,,S,T310,910,1795
123010,KR7123010001,아이윈플러스,,,S,T310,910,387
123040,KR7123040008,엠에스오토텍,,,S,T310,910,1681
123330,KR7123330003,제닉,,,S,T310,910,3326
123410,KR7123410003,코리아에프티,,,S,T310,910,1347
123420,KR7123420002,위메이드플레이,,,S,T300,0,867
123570,KR7123570004,이엠넷,,,S,T310,600,530
123750,KR7123750002,알톤,,,S,T310,910,199
123840,KR7123840001,뉴온,,,S,T310,910,389
123860,KR7123860009,아나패스,,,S,T210,910,2193
124500,KR7124500000,아이티센글로벌,,,S,T300,0,6149
124560,KR7124560004,태웅로직스,,,S,T310,1300,1162
125020,KR7125020008,티씨머티리얼즈,,,S,T010,910,1923
125210,KR7125210005,아모그린텍,,,S,T310,910,1044
126340,KR7126340009,비나텍,,,S,T310,910,2048
126600,KR7126600006,BGF에코머티리얼즈,,,S,T310,910,1857
126640,KR7126640002,화신정공,,,S,T310,910,481
126700,KR7126700004,하이비젼시스템,,,S,T210,910,2189
126730,KR7126730001,코칩,,,S,T310,910,1077
126880,KR7126880004,제이엔케이글로벌,,,S,T310,910,928
127120,KR7127120004,제이에스링크,,,S,T310,600,2573
127710,KR7127710002,아시아경제,,,S,T300,0,419
127980,KR7127980001,화인써키트,,,S,T310,910,708
128540,KR7128540002,에코캡,,,S,T310,910,436
128660,KR7128660008,피제이메탈,,,S,T310,910,758
129890,KR7129890000,앱코,,,S,T310,910,464
129920,KR7129920005,대성하이텍,,,S,T310,910,803
130500,KR7130500002,GH신소재,,,S,T310,910,399
130580,KR7130580004,나이스디앤비,,,S,T310,600,848
130740,KR7130740004,티피씨글로벌,,,S,T310,910,204
131030,KR7131030009,옵투스제약,,,S,T310,910,1012
131090,KR7131090003,시큐브,,,S,T300,0,348
131100,KR7131100000,티엔엔터테인먼트,,,S,T310,1500,429
131180,KR7131180002,딜리,,,S,T310,910,297
131220,KR7131220006,대한과학,,,S,T310,1100,371
131290,KR7131290009,티에스이,,,S,T210,910,4352
131370,KR7131370009,알서포트,,,S,T300,0,1755
131400,KR7131400004,이브이첨단소재,,,S,T310,910,774
131760,KR7131760001,파인텍,,,S,T310,910,343
131970,KR7131970006,두산테스나,,,S,T110,600,5343
133750,KR7133750000,메가엠디,,,S,T310,600,509
134060,KR7134060003,이퓨쳐,,,S,T310,1500,228
134580,KR7134580000,탑코미디어,,,S,T300,0,886
136150,KR7136150000,원일티엔아이,,,S,T010,910,2380
136410,KR7136410008,아셈스,,,S,T310,910,946
136480,KR7136480001,하림,,,S,T210,910,3361
136540,KR7136540002,윈스테크넷,,,S,T300,0,1523
137080,KR7137080008,나래나노텍,,,S,T310,910,352
137400,KR7137400008,피엔티,,,S,T110,910,7324
137940,KR7137940003,넥스트아이,,,S,T310,910,332
137950,KR7137950002,제이씨케미칼,,,S,T310,910,915
138070,KR7138070008,신진에스엠,,,S,T310,910,416
138080,KR7138080007,오이솔루션,,,S,T310,910,1063
138360,KR7138360003,협진,,,S,T310,910,355
138610,KR7138610001,나이벡,,,S,T310,910,3222
139050,KR7139050009,BF랩스,,,S,T300,0,242
139670,KR7139670004,키네마스터,,,S,T300,0,384
140070,KR7140070004,서플러스글로벌,,,S,T310,1100,919
140410,KR7140410002,메지온,,,S,T110,600,12182
140430,KR7140430000,카티스,,,S,T300,0,492
140520,KR7140520008,대창스틸,,,S,T310,910,499
140670,KR7140670001,알에스오토메이션,,,S,T310,910,1383
140860,KR7140860008,파크시스템스,,,S,T110,910,18593
141000,KR7141000000,비아트론,,,S,T310,910,1037
141080,KR7141080002,리가켐바이오,,,S,T110,600,41918
142210,KR7142210004,유니트론텍,,,S,T310,1100,1133
142280,KR7142280007,녹십자엠에스,,,S,T310,910,910
142760,KR7142760008,모아라이프플러스,,,S,T310,600,794
143160,KR7143160000,아이디스,,,S,T310,910,1637
143240,KR7143240000,사람인,,,S,T200,0,1805
143540,KR7143540003,영우디에스피,,,S,T310,910,267
144510,KR7144510005,지씨셀,,,S,T210,600,3239
144960,KR7144960002,뉴파워프라즈마,,,S,T210,910,2359
145020,KR7145020004,휴젤,,,S,T110,910,45217
145170,KR7145170007,노브랜드,,,S,T310,910,872
146060,KR7146060009,율촌,,,S,T310,910,340
146320,KR7146320007,비씨엔씨,,,S,T310,910,1128
147760,KR7147760003,피엠티,,,S,T310,910,256
147830,KR7147830004,제룡산업,,,S,T310,910,1370
148150,KR7148150006,세경하이테크,,,S,T210,910,2158
148250,KR7148250004,알엔투테크놀로지,,,S,T310,910,762
148780,KR7148780000,비큐AI,,,S,T300,0,571
148930,KR7148930001,에이치와이티씨,,,S,T310,910,402
149950,KR7149950008,아바텍,,,S,T310,910,1262
149980,KR7149980005,하이로닉,,,S,T310,910,946
150840,KR7150840007,인트로메딕,,,S,T210,910,2515
150900,KR7150900009,파수,,,S,T300,0,588
151860,KR7151860004,KG에코솔루션,,,S,T210,910,3003
151910,KR7151910007,퓨처코어,,,S,T310,910,1216
153460,KR7153460001,네이블,,,S,T300,0,514
153490,KR7153490008,우리이앤엘,,,S,T310,910,373
153710,KR7153710009,옵티팜,,,S,T310,910,721
154030,KR7154030001,아시아종묘,,,S,T300,0,331
154040,KR7154040000,다산솔루에타,,,S,T310,910,235
155650,KR7155650005,와이엠씨,,,S,T310,910,692
156100,KR7156100000,엘앤케이바이오,,,S,T310,910,1180
158430,KR7158430009,아톤,,,S,T300,0,2140
159010,KR7159010008,아스플로,,,S,T310,910,528
159580,KR7159580000,제로투세븐,,,S,T310,1100,1017
159910,KR7159910009,에코글로우,,,S,T310,910,333
160190,KR7160190005,하이젠알앤엠,,,S,T110,910,10857
160550,KR7160550000,NEW,,,S,T310,1500,629
160980,KR7160980009,싸이맥스,,,S,T310,910,1357
161580,KR7161580006,필옵틱스,,,S,T110,910,9451
162300,KR7162300008,신스틸,,,S,T310,910,955
163280,KR7163280001,에어레인,,,S,T310,910,1632
163730,KR7163730005,핑거,,,S,T300,0,1273
166090,KR7166090001,하나머티리얼즈,,,S,T210,910,4954
166480,KR7166480004,코아스템켐온,,,S,T210,910,887
168330,KR7168330009,내츄럴엔도텍,,,S,T310,600,1321
168360,KR7168360006,펨트론,,,S,T310,910,2403
169330,KR7169330008,엠브레인,,,S,T310,600,413
170030,KR7170030001,현대공업,,,S,T310,910,880
170790,KR7170790000,파이오링크,,,S,T310,910,532
170920,KR7170920003,엘티씨,,,S,T310,910,994
171010,KR7171010002,램테크놀러지,,,S,T310,910,602
171090,KR7171090004,선익시스템,,,S,T210,910,3309
171120,KR7171120009,라이온켐텍,,,S,T310,910,838
172670,KR7172670002,에이엘티,,,S,T310,910,698
173130,KR7173130006,오파스넷,,,S,T300,0,902
173940,KR7173940008,에프엔씨엔터,,,S,T310,1500,625
174880,KR7174880005,장원테크,,,S,T310,910,116
174900,KR7174900001,앱클론,,,S,T210,910,2157
175140,KR7175140003,휴먼테크놀로지,,,S,T310,910,1485
175250,KR7175250000,아이큐어,,,S,T310,910,773
176750,KR7176750008,듀켐바이오,,,S,T010,910,3115
177350,KR7177350006,베셀,,,S,T310,910,202
177830,KR7177830007,파버나인,,,S,T310,910,404
177900,KR7177900008,쓰리에이로직스,,,S,T010,910,697
178320,KR7178320008,서진시스템,,,S,T110,910,11446
178780,KR7178780003,일월지엠엘,,,S,T310,1100,524
179290,KR7179290002,엠아이텍,,,S,T210,910,2537
179530,KR7179530001,애드바이오텍,,,S,T310,910,503
179900,KR7179900006,유티아이,,,S,T210,910,3985
180400,KR7180400004,DXVX,,,S,T310,600,1053
182360,KR7182360008,큐브엔터,,,S,T210,1500,2646
182400,KR7182400002,엔케이맥스,,,S,T310,910,1727
183300,KR7183300003,코미코,,,S,T210,910,7113
183490,KR7183490002,엔지켐생명과학,,,S,T310,910,991
184230,KR7184230001,SGA솔루션즈,,,S,T300,0,423
185490,KR7185490000,아이진,,,S,T310,600,852
186230,KR7186230009,그린플러스,,,S,T310,910,856
187220,KR7187220009,디티앤씨,,,S,T310,600,356
187270,KR7187270004,신화콘텍,,,S,T310,910,367
187420,KR7187420005,HLB제넥스,,,S,T310,910,968
187660,KR7187660006,현대ADM,,,S,T310,600,682
187790,KR7187790001,나노,,,S,T310,910,326
187870,KR7187870001,디바이스,,,S,T310,910,793
188040,KR7188040000,바이오포트,,,S,T010,910,496
188260,KR7188260004,세니젠,,,S,T310,910,190
189300,KR7189300007,인텔리안테크,,,S,T210,910,5699
189330,KR7189330004,씨이랩,,,S,T300,0,505
189690,KR7189690001,포시에스,,,S,T300,0,618
189860,KR7189860000,서전기전,,,S,T310,910,432
189980,KR7189980006,흥국에프엔비,,,S,T310,910,783
190510,KR7190510008,나무가,,,S,T210,910,1976
190650,KR7190650002,코리아에셋투자증권,,,S,T310,1400,476
191410,KR7191410000,육일씨엔에쓰,,,S,T310,910,214
191420,KR7191420009,테고사이언스,,,S,T310,910,1479
192250,KR7192250009,케이사인,,,S,T300,0,926
192390,KR7192390003,윈하이텍,,,S,T310,910,332
192410,KR7192410009,오늘이엔엠,,,S,T310,910,182
192440,KR7192440006,슈피겐코리아,,,S,T310,910,1787
193250,KR7193250008,링크드,,,S,T310,910,335
194480,KR7194480000,데브시스터즈,,,S,T200,0,5180
194700,KR7194700001,노바렉스,,,S,T310,910,3486
195500,KR7195500004,마니커에프앤지,,,S,T310,910,511
195940,KR7195940002,HK이노엔,,,S,T110,910,12295
195990,KR7195990007,에이비프로바이오,,,S,T310,910,839
196170,KR7196170005,알테오젠,,,S,T110,600,216800
196300,KR7196300008,HLB펩,,,S,T310,910,836
196450,KR7196450001,코아시아씨엠,,,S,T310,910,313
196490,KR7196490007,디에이테크놀로지,,,S,T310,910,362
196700,KR7196700009,웹스,,,S,T310,910,219
197140,KR7197140007,디지캡,,,S,T300,0,303
198080,KR7198080004,엔피디,,,S,T310,910,536
198440,KR7198440000,강동씨앤엘,,,S,T310,910,726
198940,KR7198940009,한주라이트메탈,,,S,T310,910,308
199430,KR7199430000,케이엔알시스템,,,S,T310,910,751
199480,KR7199480005,뱅크웨어글로벌,,,S,T300,0,505
199550,KR7199550005,레이저옵텍,,,S,T310,910,1029
199730,KR7199730003,바이오인프라,,,S,T310,600,268
199800,KR7199800004,툴젠,,,S,T210,600,2433
199820,KR7199820002,제일일렉트릭,,,S,T210,910,2195
200130,KR7200130003,콜마비앤에이치,,,S,T210,910,4424
200230,KR7200230001,텔콘RF제약,,,S,T310,910,547
